id,crop
3961,0
811,0
2471,0
3950,0
414,0
2664,0
6855,0
5219,0
2287,0
5108,0
764,0
4899,0
6737,0
257,0
1971,0
4679,0
6100,0
3941,0
2622,0
6825,0
473,0
970,0
2886,0
1662,0
5489,0
4643,0
3707,0
1754,0
6419,0
5922,0
889,0
931,0
2053,0
2860,0
2199,0
1511,0
293,0
1371,0
1022,0
4169,0
6564,0
1595,0
5454,0
4999,0
4332,0
322,0
6659,0
6898,0
3815,0
1009,0
3703,0
2018,0
3268,0
1423,0
1210,0
4672,0
511,0
505,0
4884,0
5593,0
5221,0
1615,0
3434,0
5670,0
1181,0
367,0
6777,0
2650,0
1109,0
6666,0
324,0
3491,0
1215,0
2119,0
5648,0
4838,0
5445,0
3377,0
438,0
2310,0
3182,0
879,0
3150,0
6832,0
6415,0
6758,0
4019,0
535,0
2718,0
2132,0
1918,0
373,0
286,0
3411,0
2522,0
6339,0
2523,0
432,0
5038,0
5621,0
247,0
2166,0
6982,0
4830,0
2892,0
1446,0
1871,0
5244,0
6690,0
6311,0
6579,0
733,0
1018,0
2517,0
1544,0
3689,0
3437,0
4562,0
6380,0
4236,0
533,0
5940,0
2835,0
4398,0
1119,0
6169,0
2127,0
4394,0
3450,0
5741,0
2569,0
142,0
1934,0
6512,0
3163,0
2153,0
5884,0
6068,0
5010,0
315,0
1702,0
4697,0
2002,0
6783,0
151,0
6406,0
4558,0
333,0
4633,0
982,0
4381,0
3745,0
4046,0
5774,0
4624,0
4151,0
4983,0
6791,0
5694,0
3308,0
3101,0
6748,0
6960,0
1756,0
3481,0
915,0
84,0
742,0
3973,0
4756,0
1773,0
6588,0
3209,0
6475,0
3686,0
2398,0
2024,0
5941,0
1758,0
2069,0
4655,0
2996,0
1244,0
1002,0
2184,0
1223,0
2276,0
5347,0
2948,0
2812,0
3761,0
893,0
3000,0
3035,0
1317,0
3438,0
3269,0
1419,0
3197,0
231,0
927,0
2836,0
3260,0
5867,0
5669,0
4882,0
221,0
1926,0
1175,0
2770,0
2859,0
5493,0
4250,0
1720,0
5363,0
4247,0
4173,0
3559,0
5231,0
6048,0
833,0
3328,0
1862,0
3624,0
3469,0
2118,0
6952,0
1755,0
3185,0
5514,0
3039,0
2183,0
6055,0
380,0
2098,0
1046,0
4269,0
5327,0
5945,0
4099,0
5617,0
73,0
3098,0
1883,0
4789,0
1569,0
5441,0
5087,0
2540,0
6845,0
4078,0
5103,0
4622,0
6354,0
2182,0
2927,0
6426,0
106,0
6887,0
530,0
6364,0
5872,0
5589,0
3142,0
4510,0
181,0
2992,0
3045,0
6369,0
5716,0
5414,0
4988,0
3799,0
3592,0
1219,0
907,0
4641,0
387,0
5985,0
1362,0
2574,0
1919,0
1260,0
3024,0
6435,0
5050,0
810,0
176,0
1041,0
376,0
279,0
3879,0
5291,0
4878,0
6208,0
6308,0
3479,0
1582,0
3733,0
2794,0
4553,0
251,0
6821,0
3827,0
1020,0
5641,0
4693,0
763,0
4523,0
1961,0
3433,0
3172,0
4991,0
3656,0
6338,0
5113,0
5076,0
1632,0
5594,0
3276,0
4696,0
622,0
5776,0
3862,0
5994,0
3256,0
6064,0
5556,0
80,0
1789,0
2862,0
6217,0
434,0
1339,0
1235,0
121,0
1840,0
2406,0
4128,0
3935,0
2715,0
6533,0
5178,0
3133,0
1411,0
6079,0
1880,0
2189,0
2676,0
95,0
5837,0
4919,0
5888,0
1295,0
5459,0
2576,0
1514,0
90,0
1876,0
2413,0
2654,0
6240,0
3193,0
5444,0
5698,0
1128,0
881,0
1536,0
6556,0
6127,0
6233,0
1940,0
585,0
5285,0
2473,0
132,0
6465,0
336,0
1869,0
1374,0
3181,0
1795,0
5037,0
349,0
3366,0
6807,0
624,0
4769,0
5377,0
447,0
2354,0
416,0
3809,0
2441,0
3704,0
4168,0
5120,0
2592,0
3064,0
746,0
3621,0
4463,0
5470,0
3011,0
5058,0
3346,0
1385,0
3907,0
4950,0
6506,0
4384,0
2864,0
1153,0
1467,0
6636,0
5025,0
6091,0
4725,0
6098,0
6504,0
2210,0
577,0
4940,0
3529,0
1183,0
3893,0
91,0
2181,0
2699,0
3578,0
4365,0
75,0
6536,0
4609,0
1092,0
4755,0
1650,0
3127,0
6041,0
4927,0
2594,0
5796,0
4084,0
4706,0
5966,0
50,0
6027,0
6836,0
2893,0
4147,0
4347,0
5437,0
2114,0
555,0
5220,0
1732,0
4545,0
565,0
2223,0
6513,0
3151,0
3692,0
381,0
1305,0
3355,0
5850,0
5531,0
1978,0
4352,0
1079,0
696,0
497,0
4666,0
2755,0
773,0
471,0
1103,0
1393,0
1192,0
1212,0
102,0
2249,0
6744,0
5396,0
2596,0
6595,0
1979,0
4953,0
1352,0
3049,0
3357,0
4102,0
4707,0
4610,0
19,0
2827,0
1426,0
1176,0
5661,0
2477,0
809,0
3527,0
4726,0
5385,0
5096,0
6216,0
1578,0
